nama_ukm,kategori,gambar,deskripsi,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15
Aerobic,PUTRI,,,0,0,0.8,0,0.3,0,1,0,0,0,0,0,0,0,0
Tenis,PUTRI & PUTRA,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0
Volly,PUTRI & PUTRA,,,0,0,0,0,0.7,0,1,0,0,0,0,0,0,0.3,0
Badminton,PUTRI & PUTRA,,,0,0,0,0,0.7,0,1,0,0,0.9,0,0,0,0,0
Basket,PUTRI & PUTRA,,,0.2,0,0,0,0.9,0,1,0.3,0,0,0,0,0,0,0
Archery,PUTRI & PUTRA,,,0,0,0,0,0,0,1,0,0,0.3,0,0,0,0,0.3
Band,PUTRI & PUTRA,,,0,0,1,0.2,0.7,0,0,0,0,0.3,0,0,0,0,0
Tata Rias,PUTRI,,,0,0,1,0,0,0.3,0.2,0,0,0.3,0,0,0,0.8,0
Tata Busana,PUTRI,,,0,0,1,0,0,0.3,0.2,0,0,0.3,0,0,0,0.8,0
Tata Boga,PUTRI,,,0,0,1,0,0,0.3,0.2,0,0,0.3,0,0.2,0,0.8,0
Khot,PUTRI & PUTRA,,,0,0,1,0,0,0.7,0,0,0,0,0,0,0,0,0.3
Drawing,PUTRI,,,0,0,1,0,0,0.7,0,0,0,0,0,0,0,0,0.3
Hasta Karya,PUTRI,,,0,0,1,0,0,0.7,0,0,0,0,0,0,0,0,0.3
Tari,PUTRI,,,0,0,0.8,0,0.3,0,1,0,0,0,0,0,0,0,0
Design Grafis,PUTRI,,,0,0,1,0,0.3,0.8,0,0.2,0.3,0,0,0,0,0,0
Photographis,PUTRI,,,0,0,1,0,0.3,0.8,0,0,0.7,0.2,0,0,0,0,0
Videographis,PUTRI,,,0,0,1,0,0.3,0.8,0,0.2,0.3,0,0,0,0,0,0
Debat,PUTRI,,,0,1,0,0.2,0.7,0,0,0.2,0.8,0.2,0.3,0.3,0,0.3,0
Jurnalistik,PUTRI,,,0,0.8,0,0.3,0.3,0.2,0,0.7,0.7,0,0.2,1,0.3,0,0
Racana,PUTRI & PUTRA,,,1,0,0.3,0.2,0.7,0.7,0.3,0.2,0.8,0.2,0,0.2,0.8,0,0.7
MC,PUTRI,,,0.8,0.7,0,0.2,1,0.3,0.3,0.7,0.2,0,0,0.2,0,0.2,0
JMQ,PUTRI,,,0,0,0.2,0.2,0,0.8,0,0,0,1,0,0,0.3,0,0.3
JHQ,PUTRI,,,0,0,0,0.2,0,0.8,0,0,0,1,0,0,0.3,0,0.3
HADRAH,PUTRI,,,0,0,0.8,0,0.3,0.7,0,0,0,1,0,0,0,0,0
PERSIMADA,PUTRA,,,0.2,0,0,0.7,0.7,0,1,0.2,0,0.2,0,0,0,0.3,0.3
TAEKWONDO,PUTRA,,,0.2,0,0,0.7,0.7,0,1,0.2,0,0.2,0,0,0,0.3,0.3
UNIDA FOOTBALL CLUB,PUTRA,,,0.2,0,0,0,0.9,0,1,0.3,0,0,0,0,0,0,0
FUTSALISTY,PUTRA,,,0.2,0,0,0,0.9,0,1,0.3,0,0,0,0,0,0,0
MENWA,PUTRA,,,1,0,0,0.2,0.2,0,0.8,0,0,0.3,0,0,0,0,0.8
KSEI,PUTRA,,,0.3,0.7,0.3,0,0,0.2,0,0,1,0.2,0,0.7,0.2,0.3,0
FKM LUKMANUL HAKIM,PUTRA,,,1,0,0.3,0.2,0.7,0.7,0.3,0.2,0.8,0.2,0,0.2,0.8,0,0.7
DZIKRUSSALAM,PUTRA,,,0,0,0.8,0,0.3,0.7,0,0,0,1,0,0,0,0,0
MARCHING BAND,PUTRA,,,0,0,1,0.2,0.7,0,0.2,0,0,0.3,0,0,0,0,0
THIBUN-NABAWI,PUTRA,,,0,0,0.2,0,0,0.9,0,0,0,1,0,0,0.7,0.3,0.3
